kelompok;usia
Dewasa              ;34        
Tua                 ;70        
Tua                 ;78        
Pemuda              ;23        
Dewasa              ;44        
Kanak-Kanak         ;7         
Tua                 ;60        
Pemuda              ;23        
Tua                 ;64        
Pemuda              ;22        
Tua                 ;68        
Tua                 ;77        
Kanak-Kanak         ;11        
Dewasa              ;27        
Dewasa              ;52        
Dewasa              ;29        
Tua                 ;73        
Tua                 ;71        
Dewasa              ;48        
Dewasa              ;44        
Dewasa              ;31        
Dewasa              ;29        
Dewasa              ;54        
Pemuda              ;21        
Dewasa              ;36        
Dewasa              ;49        
Tua                 ;62        
Tua                 ;63        
Dewasa              ;25        
Dewasa              ;32        
Tua                 ;61        
Pemuda              ;23        
Dewasa              ;34        
Pemuda              ;18        
Kanak-Kanak         ;10        
Balita              ;4         
Dewasa              ;33        
Remaja              ;14        
Dewasa              ;38        
Pemuda              ;17        
Dewasa              ;52        
Dewasa              ;50        
Tua                 ;70        
Dewasa              ;32        
Dewasa              ;37        
Tua                 ;56        
Tua                 ;75        
Tua                 ;64        
Dewasa              ;38        
Dewasa              ;54        
Tua                 ;80        
Dewasa              ;37        
Balita              ;2         
Tua                 ;62        
Tua                 ;67        
Dewasa              ;42        
Pemuda              ;18        
Kanak-Kanak         ;7         
Tua                 ;64        
Dewasa              ;33        
Tua                 ;64        
Dewasa              ;34        
Tua                 ;63        
Balita              ;5         
Dewasa              ;28        
Tua                 ;66        
Kanak-Kanak         ;7         
Tua                 ;62        
Dewasa              ;49        
Tua                 ;76        
Tua                 ;71        
Kanak-Kanak         ;10        
Dewasa              ;33        
Tua                 ;73        
Tua                 ;71        
Tua                 ;77        
Dewasa              ;42        
Tua                 ;59        
Balita              ;2         
Tua                 ;68        
Dewasa              ;29        
Tua                 ;55        
Dewasa              ;37        
Dewasa              ;38        
Dewasa              ;33        
Tua                 ;62        
Remaja              ;14        
Tua                 ;73        
Dewasa              ;54        
Tua                 ;56        
Balita              ;2         
Dewasa              ;39        
Tua                 ;76        
Dewasa              ;36        
Kanak-Kanak         ;11        
Tua                 ;59        
Dewasa              ;35        
Kanak-Kanak         ;10        
Dewasa              ;40        
Kanak-Kanak         ;6         
